lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
RAnkleAngles,,LWristAngles,,RNeckAngles,,,LHeadAngles,,,RKneeAngles,,,LElbowAngles,,,RWristAngles,,LSpineAngles,,
X,Y,X,Y,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,X,Y,
12.89069,-1.469704,1.323945,-25.984146,-8.524042,1.821836,15.799819,-1.830769,-16.524988,10.198291,146.911148,-3.42439,0.212394,77.592384,0.0,0.0,65.989075,-12.458595,6.293529,19.488499,
12.789582,-1.416022,1.034471,-25.731031,-8.557388,1.918881,15.979212,-2.002559,-16.604036,10.461382,146.672546,-3.497484,0.226545,77.864815,0.0,0.0,66.021591,-12.488585,6.362081,19.466681,
12.689036,-1.36194,0.735061,-25.464764,-8.594309,2.012515,16.158926,-2.180314,-16.679466,10.728782,146.421249,-3.574495,0.23854,78.134315,0.0,0.0,66.053482,-12.519901,6.425801,19.435087,
12.589059,-1.307602,0.426666,-25.185621,-8.63472,2.10278,16.338961,-2.364021,-16.751152,11.000452,146.156937,-3.655821,0.248215,78.400841,0.0,0.0,66.084587,-12.552452,6.484565,19.393692,
12.489631,-1.253149,0.110046,-24.893877,-8.678515,2.189792,16.51926,-2.55364,-16.818954,11.276358,145.879288,-3.74181,0.255429,78.664505,0.0,0.0,66.114815,-12.586152,6.53824,19.34251,
12.390709,-1.198698,-0.21391,-24.589912,-8.725544,2.273511,16.699793,-2.749187,-16.882835,11.556445,145.588089,-3.832873,0.260063,78.925301,0.0,0.0,66.144035,-12.620918,6.586686,19.281549,
12.292192,-1.144362,-0.544283,-24.274097,-8.775662,2.353989,16.880562,-2.950619,-16.942719,11.840678,145.283051,-3.929397,0.262076,79.183357,0.0,0.0,66.17218,-12.656692,6.62982,19.210827,
12.193952,-1.090267,-0.880048,-23.947071,-8.828725,2.431351,17.061478,-3.15786,-16.998453,12.128983,144.964005,-4.031741,0.261408,79.438675,0.0,0.0,66.199074,-12.693367,6.66749,19.130394,
12.095788,-1.036505,-1.220204,-23.609215,-8.884547,2.505619,17.242493,-3.370863,-17.049992,12.421282,144.630753,-4.140329,0.25808,79.691383,0.0,0.0,66.224602,-12.730861,6.699603,19.040302,
11.997541,-0.983168,-1.563639,-23.261356,-8.942945,2.576831,17.423599,-3.589565,-17.09729,12.717538,144.283157,-4.255521,0.252122,79.941505,0.0,0.0,66.248672,-12.769107,6.726046,18.940619,
11.898973,-0.930339,-1.909607,-22.903803,-9.003752,2.645065,17.604729,-3.813839,-17.140276,13.017665,143.921066,-4.377682,0.243645,80.189232,0.0,0.0,66.271164,-12.808013,6.746734,18.831429,
11.799857,-0.878083,-2.256766,-22.537542,-9.066705,2.710435,17.785818,-4.043621,-17.178844,13.321572,143.544434,-4.507134,0.232796,80.434563,0.0,0.0,66.292007,-12.847501,6.761556,18.712835,
11.699828,-0.82647,-2.604172,-22.163269,-9.131604,2.772943,17.966869,-4.27879,-17.213015,13.629217,143.153214,-4.644232,0.219794,80.677658,0.0,0.0,66.31105,-12.887482,6.770443,18.584957,
11.59868,-0.775524,-2.95093,-21.781641,-9.198219,2.832801,18.147747,-4.519186,-17.242619,13.940456,142.747314,-4.789244,0.204942,80.918701,0.0,0.0,66.328209,-12.92793,6.773324,18.447933,
11.495999,-0.725311,-3.295928,-21.393631,-9.266298,2.889927,18.328466,-4.764709,-17.267748,14.255252,142.326797,-4.942442,0.188507,81.157715,0.0,0.0,66.34343,-12.968709,6.770107,18.301889,
11.391474,-0.67584,-3.638052,-21.000103,-9.335568,2.94453,18.508955,-5.015187,-17.288256,14.573474,141.891647,-5.10403,0.170921,81.394905,0.0,0.0,66.356567,-13.009812,6.760756,18.146982,
11.284726,-0.627126,-3.976613,-20.601879,-9.405782,2.996633,18.689154,-5.270459,-17.304178,14.895046,141.44194,-5.27424,0.152606,81.630417,0.0,0.0,66.367584,-13.051167,6.745194,17.983404,
11.175406,-0.579186,-4.310527,-20.199991,-9.476653,3.046339,18.86903,-5.530353,-17.315464,15.219868,140.977722,-5.453129,0.134093,81.864464,0.0,0.0,66.376434,-13.092712,6.723409,17.811337,
11.063087,-0.532014,-4.638939,-19.795328,-9.547912,3.093739,19.048513,-5.794668,-17.322094,15.547817,140.499084,-5.640826,0.115913,82.097229,0.0,0.0,66.383018,-13.134435,6.695365,17.630962,
