lkneex,lkneey,rkneex,rkneey,lwristx,lwristy,lwristz,rwristx,rwristy,rwristz,lhipx,lhipy,lhipz,rhipx,rhipy,rhipz,lshoulderx,lshouldery,rshoulderx,rshouldery
-2.179061,-26.407803,-16.899401,0.1856,8.453526,-2.187161,-3.946115,17.447666,-4.152473,-4.766527,55.104393,0.0,0.0,-126.549004,33.540855,10.376892,-9.272641,7.296109,8.422209,3.424613,
-2.334016,-26.309189,-16.944485,0.254704,8.41689,-2.170086,-4.003094,17.558821,-4.17604,-4.702286,55.038689,0.0,0.0,-126.538841,33.542381,10.397427,-9.31856,7.380485,8.498685,3.496315,
-2.504267,-26.194281,-16.989338,0.324305,8.379749,-2.152155,-4.061893,17.667248,-4.199135,-4.638107,54.980793,0.0,0.0,-126.529022,33.543171,10.41992,-9.362114,7.464403,8.575191,3.568293,
-2.690285,-26.061861,-17.033806,0.394213,8.342179,-2.133351,-4.122533,17.772644,-4.221755,-4.574001,54.931458,0.0,0.0,-126.519867,33.543186,10.444201,-9.40324,7.547661,8.651495,3.640343,
-2.892803,-25.910439,-17.077707,0.46432,8.304242,-2.113562,-4.184998,17.874701,-4.243853,-4.509996,54.891533,0.0,0.0,-126.511696,33.542358,10.47001,-9.441851,7.630011,8.727349,3.712237,
-3.112187,-25.738983,-17.120878,0.534359,8.266033,-2.092817,-4.249319,17.973127,-4.265429,-4.446103,54.861706,0.0,0.0,-126.504868,33.540627,10.497116,-9.477898,7.711231,8.802497,3.783737,
-3.349066,-25.546146,-17.163115,0.604081,8.227637,-2.071077,-4.315506,18.067602,-4.286452,-4.382346,54.842785,0.0,0.0,-126.499718,33.537937,10.525247,-9.511325,7.791016,8.876657,3.854548,
-3.603731,-25.331141,-17.204216,0.673327,8.189133,-2.04823,-4.383557,18.157829,-4.306903,-4.318748,54.835464,0.0,0.0,-126.496605,33.534214,10.554165,-9.542088,7.869092,8.949548,3.924394,
-3.876666,-25.092871,-17.243973,0.741763,8.150616,-2.0243,-4.453508,18.243513,-4.326763,-4.255328,54.840466,0.0,0.0,-126.495865,33.5294,10.583597,-9.57016,7.945152,9.020877,3.992959,
-4.168161,-24.830637,-17.282209,0.809192,8.112208,-1.999187,-4.52535,18.324335,-4.346038,-4.192108,54.85844,0.0,0.0,-126.497803,33.523422,10.613261,-9.595487,8.018921,9.090343,4.059936,
-4.478438,-24.543821,-17.318655,0.875276,8.073988,-1.972876,-4.599106,18.400021,-4.364681,-4.129107,54.890007,0.0,0.0,-126.502792,33.516216,10.642879,-9.618082,8.090013,9.157626,4.12496,
-4.807848,-24.231848,-17.353127,0.939743,8.036085,-1.945285,-4.674793,18.470266,-4.382707,-4.066343,54.93578,0.0,0.0,-126.511124,33.507725,10.67214,-9.63791,8.158109,9.222415,4.187668,
-5.156352,-23.894505,-17.385366,1.002224,7.998589,-1.916416,-4.752427,18.534792,-4.400089,-4.003844,54.996258,0.0,0.0,-126.523048,33.497887,10.700864,-9.654963,8.222832,9.284386,4.247679,
-5.524172,-23.531561,-17.415144,1.062404,7.961622,-1.886211,-4.83202,18.593328,-4.416834,-3.941628,55.07196,0.0,0.0,-126.538887,33.486656,10.728644,-9.66926,8.283829,9.343204,4.304603,
-5.911301,-23.142944,-17.442238,1.119958,7.925299,-1.854582,-4.913588,18.645594,-4.432924,-3.879719,55.163307,0.0,0.0,-126.55883,33.473965,10.755371,-9.680775,8.340689,9.398556,4.358012,
-6.317703,-22.728897,-17.466373,1.17444,7.889725,-1.821571,-4.99714,18.691339,-4.448363,-3.818126,55.270679,0.0,0.0,-126.583061,33.459793,10.78072,-9.689551,8.393014,9.450096,4.407475,
-6.743216,-22.289711,-17.487364,1.225573,7.855053,-1.787031,-5.082684,18.730305,-4.463135,-3.756881,55.394386,0.0,0.0,-126.611763,33.444092,10.804503,-9.695566,8.440386,9.497509,4.452552,
-7.187674,-21.825926,-17.50495,1.272887,7.821389,-1.750994,-5.170243,18.762264,-4.477254,-3.695989,55.534702,0.0,0.0,-126.645027,33.426846,10.826523,-9.698854,8.482387,9.540475,4.49278,
-7.650861,-21.338079,-17.518873,1.31604,7.788824,-1.713381,-5.259814,18.786972,-4.490711,-3.635488,55.691795,0.0,0.0,-126.682808,33.408028,10.846668,-9.699414,8.518587,9.578672,4.527706,
-8.132422,-20.826916,-17.528954,1.354604,7.757539,-1.674154,-5.35141,18.804237,-4.503513,-3.575378,55.865822,0.0,0.0,-126.725212,33.38765,10.864726,-9.697286,8.548544,9.611794,4.556842,
-8.631886,-20.293592,-17.534933,1.388225,7.727609,-1.633233,-5.445025,18.813833,-4.515674,-3.515686,56.056831,0.0,0.0,-126.772179,33.365723,10.880578,-9.692453,8.57183,9.639551,4.579716,
-9.148751,-19.73904,-17.53661,1.416464,7.699185,-1.590603,-5.540662,18.815596,-4.527186,-3.456423,56.264809,0.0,0.0,-126.823578,33.342266,10.894252,-9.684959,8.587989,9.661648,4.59584,
-9.682463,-19.16445,-17.533762,1.438927,7.672363,-1.546214,-5.638323,18.80934,-4.538081,-3.397608,56.489704,0.0,0.0,-126.879189,33.31731,10.905679,-9.674804,8.5966,9.67782,4.604733,
-10.232347,-18.571146,-17.526222,1.455188,7.647301,-1.500033,-5.737993,18.79492,-4.548347,-3.339253,56.731407,0.0,0.0,-126.93882,33.290916,10.914878,-9.662003,8.597188,9.687815,4.605897,
-10.797616,-17.960539,-17.513769,1.464919,7.624069,-1.451967,-5.839664,18.772203,-4.558011,-3.281372,56.989708,0.0,0.0,-127.002228,33.263153,10.921798,-9.646575,8.589346,9.691397,4.598868,
